CCHANNELCODE,CTITLE_TXT,CONTENT,CRELEASETIME,CRELEASETIME2,CURL,DOCID,FILESIZE,MIMETYPE
8349,歌华有线公开发行可转换公司债券募集说明书,股票简称：歌华有线 股票代码：600037 北京歌华有线电视网络股份有限公司 注册地址：北,2010-11-23,00:00:00,/disclosure/listedinfo/announcement/c/2010-11-23/600037_20101123_3.pdf,a0f4e3f4c0164ceca36f06b388af4bae,,pdf
8349,歌华有线公开发行可转换公司债券募集说明书摘要,0 股票简称：歌华有线 股票代码：600037 北京歌华有线电视网络股份有限公司 注册地址：,2010-11-23,00:00:00,/disclosure/listedinfo/announcement/c/2010-11-23/600037_20101123_4.pdf,89ddfd6864a64571a7866614d0cd5b8e,,pdf
8415,歌华有线公开发行可转换公司债券募集说明书摘要,0 股票简称：歌华有线 股票代码：600037 北京歌华有线电视网络股份有限公司 注册地址：,2010-11-23,00:00:00,/disclosure/listedinfo/announcement/c/2010-11-23/600037_20101123_4.pdf,CMS3663900,,pdf
8415,歌华有线公开发行可转换公司债券募集说明书,股票简称：歌华有线 股票代码：600037 北京歌华有线电视网络股份有限公司 注册地址：北,2010-11-23,00:00:00,/disclosure/listedinfo/announcement/c/2010-11-23/600037_20101123_3.pdf,CMS3663898,,pdf
8349,泰豪科技公开发行公司债券募集说明书,1-1-115 股票简称：泰豪科技 股票代码：600590 泰豪科技股份有限公司 （TELLHOW SCI-T,2010-09-20,00:00:00,/disclosure/listedinfo/announcement/c/2010-09-20/600590_20100920_2.pdf,babe417947a245f0a7b2e4f52c83d410,,pdf
8349,泰豪科技公开发行公司债券募集说明书摘要,"股票简称：泰豪科技 股票代码：600590 泰豪科技股份有限公司 （TELLHOW SCI-TECH CO.,",2010-09-20,00:00:00,/disclosure/listedinfo/announcement/c/2010-09-20/600590_20100920_3.pdf,d78f879fbb5f4258a947c821a2f30907,,pdf
9860,2010年通辽市城市投资经营有限责任公司市政项目建设债券募集说明书,2010年通辽市城市投资经营有限责任公司市政项目建设债券募集说明书 1 声明及提示声明及,2010-08-30,00:00:00,/disclosure/bond/c/2010-08-30/122891_20100830_2.pdf,CMSold201603187749,,pdf
9860,2010年通辽市城市投资经营有限责任公司市政项目建设债券募集说明书摘要,2010年通辽市城市投资经营有限责任公司市政项目建设债券募集说明书摘要 1 声明及提示声,2010-08-30,00:00:00,/disclosure/bond/c/2010-08-30/122891_20100830_3.pdf,CMSold201603188025,,pdf
8349,工商银行公开发行A股可转换公司债券募集说明书摘要,股票简称：工商银行 A 股股票代码：601398 中国工商银行股份有限公司 INDUSTRIAL AND,2010-08-26,00:00:00,/disclosure/listedinfo/announcement/c/2010-08-26/601398_20100826_2.pdf,b680807a888c4c8a8598d6cc8a8deb87,,pdf
8415,工商银行公开发行A股可转换公司债券募集说明书,股票简称：工商银行 A 股股票代码：601398 中国工商银行股份有限公司 INDUSTRIAL AND,2010-08-26,00:00:00,/disclosure/listedinfo/announcement/c/2010-08-26/601398_20100826_3.pdf,CMS3663814,,pdf
8415,工商银行公开发行A股可转换公司债券募集说明书摘要,股票简称：工商银行 A 股股票代码：601398 中国工商银行股份有限公司 INDUSTRIAL AND,2010-08-26,00:00:00,/disclosure/listedinfo/announcement/c/2010-08-26/601398_20100826_2.pdf,CMS3663812,,pdf
9860,2010年上海杨浦城市建设投资（集团）有限公司公司债券募集说明书,2010年上海杨浦城市建设投资（集团）有限公司公司债券募集说明书 债券名称 2010年上海,2010-07-22,00:00:00,/disclosure/bond/c/2010-07-22/122899_20100722_2.pdf,CMSold201603187480,,pdf
9860,2010年上海杨浦城市建设投资（集团）有限公司公司债券募集说明书摘要,2010年上海杨浦城市建设投资（集团）有限公司公司债券募集说明书摘要 债券名称 2010年,2010-07-22,00:00:00,/disclosure/bond/c/2010-07-22/122899_20100722_3.pdf,CMSold201603187012,,pdf
9860,2010年芜湖市建设投资有限公司公司债券募集说明书摘要,声明及提示 一、发行人总经理办公会声明 发行人总经理办公会已批准本期债券募集说明书,2010-07-20,00:00:00,/disclosure/bond/c/2010-07-20/122906_20100720_3.pdf,CMSold201603186707,,pdf
9860,2010年芜湖市建设投资有限公司公司债券募集说明书摘要,声明及提示 一、发行人总经理办公会声明 发行人总经理办公会已批准本期债券募集说明书,2010-07-20,00:00:00,/disclosure/bond/c/2010-07-20/122907_20100720_3.pdf,CMSold201603187165,,pdf
9860,2010年芜湖市建设投资有限公司公司债券募集说明书,声明及提示 一、发行人总经理办公会声明 发行人总经理办公会已批准本期债券募集说明书,2010-07-20,00:00:00,/disclosure/bond/c/2010-07-20/122906_20100720_2.pdf,CMSold201603186305,,pdf
9860,2010年芜湖市建设投资有限公司公司债券募集说明书,声明及提示 一、发行人总经理办公会声明 发行人总经理办公会已批准本期债券募集说明书,2010-07-20,00:00:00,/disclosure/bond/c/2010-07-20/122907_20100720_2.pdf,CMSold201603186783,,pdf
8349,中国银行公开发行A股可转换公司债券募集说明书,股票简称：中国银行 A股股票代码：601988 中国银行股份有限公司 （住所：北京市复兴门,2010-05-31,00:00:00,/disclosure/listedinfo/announcement/c/2010-05-31/601988_20100531_4.pdf,4859e4e75c8c4ad4b87db5d1ece56277,,pdf
8349,中国银行公开发行A股可转换公司债券募集说明书摘要,股票简称：中国银行 A股股票代码：601988 中国银行股份有限公司 （住所：中国北京市复,2010-05-31,00:00:00,/disclosure/listedinfo/announcement/c/2010-05-31/601988_20100531_5.pdf,0a5a8c93cc72481a85e6fb6d4bcd6e05,,pdf
8415,中国银行公开发行A股可转换公司债券募集说明书摘要,股票简称：中国银行 A股股票代码：601988 中国银行股份有限公司 （住所：中国北京市复,2010-05-31,00:00:00,/disclosure/listedinfo/announcement/c/2010-05-31/601988_20100531_5.pdf,CMS3663742,,pdf
8415,中国银行公开发行A股可转换公司债券募集说明书,股票简称：中国银行 A股股票代码：601988 中国银行股份有限公司 （住所：北京市复兴门,2010-05-31,00:00:00,/disclosure/listedinfo/announcement/c/2010-05-31/601988_20100531_4.pdf,CMS3663740,,pdf
