公司全称,公司简称,公告日期,风险词汇频数,前后存在无等的风险频数,整个债券书字数,风险部分字数统计,风险自然段落统计,风险限定字数句子统计,风险所有句子统计,是否检测到风险章节,文档名称
 A 股可转换公司,顾家家居,2018-09-10,83,6,254189,4145,25,26,63,是,顾家家居公开发行可转换公司债券募集说明书_603816_20180910_10
广西百色百东投资有限公司,,2018-09-06,54,3,77051,3428,24,22,51,是,2018年第一期广西百色百东投资有限公司公司债券募集说明书_3334747455350718
投资开发有限公司,,2018-09-05,72,5,77232,2990,23,28,39,是,3、2018年第二期永修县城市建设投资开发有限公司公司债券募集说明书_3334648755701145
沂源宏鼎资产经营有限公司,,2018-09-05,72,9,109369,3453,24,31,44,是,2018年沂源宏鼎资产经营有限公司公司债券募集说明书_3334693259954641
广东省广业集团有限公司,,2018-09-05,109,6,155411,8163,52,54,102,是,2018年第二期广东省广业集团有限公司绿色公司债券募集说明书_3334568909815015
杭州良渚文化城集团有限公司,,2018-09-05,64,7,142050,5060,34,34,69,是,2018年杭州良渚文化城集团有限公司城市停车场建设专项债券募集说明书_3333824644364639
厦门轨道交通集团有限公司,,2018-09-04,87,4,95797,5650,43,46,85,是,2018年第一期厦门轨道交通集团有限公司公司债券募集说明书_3331294177331649
泗县城市建设投资有限公司,,2018-09-03,41,3,91292,3851,26,28,56,是,2018年泗县城市建设投资有限公司公司债券募集说明书_3331121087402189
江苏洋口港建设发展集团有限公司,,2018-08-30,52,7,123895,4735,24,35,62,是,2018年第二期江苏洋口港建设发展集团有限公司公司债券募集说明书_3325197809043470
武汉地铁集团有限公司,,2018-08-30,84,8,124616,5102,36,40,74,是,2018年第二期武汉地铁集团有限公司绿色债券募集说明书_3329483154971655
北京汽车集团有限公司,,2018-08-28,117,5,177592,10744,49,86,148,是,北京汽车集团有限公司2018年公开发行公司债券募集说明书_3327833269351328
眉山市东坡发展投资有限公司,,2018-08-27,65,18,100105,6808,38,44,74,是,2018年第一期眉山市东坡发展投资有限公司公司债券募集说明书_3325172918919839
浙江武义城市建设投资集团有限公司,,2018-08-24,65,7,83545,4722,30,33,60,是,2018年第一期浙江武义城市建设投资集团有限公司城市停车场建设专项债券募集说明书_3324289505444216
树业环保科技股份有限公司,,2018-08-24,89,2,106327,6289,42,51,84,是,2018年树业环保科技股份有限公司绿色债券募集说明书_3323452023708052
北京市基础设施投资有限公司,,2018-08-24,51,7,93872,3617,28,29,54,是,2018年第一期北京市基础设施投资有限公司公司债券募集说明书_3323451250426950
北京市基础设施投资有限公司,,2018-08-24,51,7,93872,3617,28,29,54,是,2018年第一期北京市基础设施投资有限公司公司债券募集说明书_3323451758387189
公司,,2018-08-21,48,1,72182,2497,21,21,33,是,2018年中国铁路建设债券募集说明书（2018年7月更新版）_3322498507814568
投资开发有限公司,,2018-08-21,74,5,74979,2986,23,28,39,是,2018年第一期永修县城市建设投资开发有限公司公司债券募集说明书_3317262406495758
淮安市金湖交通投资有限公司,,2018-08-17,63,4,65328,3202,19,25,43,是,2018年淮安市金湖交通投资有限公司公司债券募集说明书_3318252503905607
珠海华发综合发展有限公司,,2018-08-14,135,10,202261,8901,48,63,108,是,珠海华发综合发展有限公司公开发行2018年公司债券募集说明书_3316542376506646
珠海华发综合发展有限公司,,2018-08-14,135,10,202261,8901,48,63,108,是,珠海华发综合发展有限公司公开发行2018年公司债券募集说明书_3316537812193599
宜宾市南溪区财源国有资产经营有限责任公司,,2018-08-14,70,8,137725,5362,29,28,51,是,2018年第一期宜宾市南溪区财源国有资产经营有限责任公司公司债券募集说明书_3313147766085570
义乌市城市投资建设集团有限公司,,2018-08-13,71,5,104634,3878,26,27,47,是,2017年义乌市城市投资建设集团有限公司城市停车场和地下综合管廊专项债券募集说明书_3312287776341259
南京溧水城市建设集团有限公司,,2018-08-13,98,10,108478,6166,38,49,82,是,2018年南京溧水城市建设集团有限公司城市停车场建设专项债券募集说明书_3313064065722723
公司,,2018-08-10,40,5,82477,2750,17,21,41,是,2018年第一期桐城市建设投资发展有限责任公司城市停车场建设专项债券募集说明书_3310497751484285
「州珠江实血集困有限公司,,2018-08-08,68,5,130872,6189,39,47,84,是,2018年广州珠江实业集团有限公司社会领域产业政府和社会资本合作（PPP）项目专项债券募集说明书_3310478693671453
宿迁高新开发投资有限公司,,2018-08-08,50,3,80012,3887,31,26,57,是,2018年第一期宿迁高新开发投资有限公司公司债券募集说明书_3310397803727308
山东招金集团有限公司,,2018-08-06,198,17,157046,9810,52,65,97,是,山东招金集团有限公司2018年公开发行可续期公司债券（第一期）债券募集说明书（面向合格投资者）_3307032125741141
山东招金集团有限公司,,2018-08-06,198,17,157046,9810,52,65,97,是,山东招金集团有限公司2018年公开发行可续期公司债券（第一期）债券募集说明书（面向合格投资者）_3307031255410169
中科曙光 股票代码公司,中科曙光,2018-08-02,111,9,264395,5414,33,37,70,是,中科曙光公开发行A股可转换公司债券募集说明书_603019_20180802_6
 江苏吴江农村商业银行股份有限公司,吴江银行,2018-07-31,538,29,212122,15528,87,94,226,是,吴江银行公开发行A股可转换公司债券募集说明书_603323_20180731_5
平度市国有资产经营管理有限公司,,2018-07-27,70,5,114549,3137,24,21,47,是,2018年平度市国有资产经营管理有限公司公司债券募集说明书_3299296860083997
格力地产股份有限公司,,2018-07-24,162,13,175803,12168,63,89,164,是,格力地产2018年公开发行公司债券募集说明书_600185_20180724_1
高能环境 证券公司,,2018-07-24,97,5,204482,5773,36,46,73,是,高能环境公开发行可转换公司债券募集说明书_603588_20180724_6
公司,,2018-07-24,48,1,72182,2497,21,21,33,是,2018年中国铁路建设债券募集说明书（2018年7月更新版）_3298408575332164
格力地产股份有限公司,,2018-07-24,162,13,175803,12168,63,89,164,是,格力地产股份有限公司2018年公开发行公司债券募集说明书_3297461003673161
