公司全称,公司简称,公告日期,风险词汇频数,前后存在无等的风险频数,整个债券书字数,风险部分字数统计,风险自然段落统计,文档名称
扬州市城建国有资产控股（集团）有限责任公司,,2018-04-24,362,24,427424,18124,176,扬州市城建国有资产控股（集团）有限责任公司2018年面向合格投资者公开发行公司债券募集说明书_3218776932427940
厦门国贸集团股份有限公司,,2018-04-23,264,12,351610,13249,124,厦门国贸公开发行2018年可续期公司债券募集说明书（发行稿）_600755_20180423_5
鹏博士电信传媒集团股份有限公司,,2018-04-23,226,12,377852,9949,109,鹏博士2018年公开发行公司债券募集说明书（面向合格投资者）_600804_20180423_1
厦门国贸集团股份有限公司,,2018-04-23,264,12,351610,13249,124,厦门国贸集团股份有限公司公开发行2018年可续期公司债券募集说明书_3218762894212828
鹏博士电信传媒集团股份有限公司,,2018-04-23,226,12,377852,9949,109,鹏博士电信传媒集团股份有限公司2018年面向合格投资者公开发行公司债券募集说明书_3216350322820777
景德镇市国资运营投资控股集团有限责任公司,,2018-04-23,300,28,441636,14404,124,景德镇市国资运营投资控股集团有限责任公司2018年公开发行公司债券募集说明书_3216196054137122
韶山高新建设投资有限公司,,2018-04-20,86,16,156632,3532,44,2018年韶山高新建设投资有限公司公司债券募集说明书_3216406471156120
同济堂医药有限公司,,2018-04-20,306,30,561069,13996,144,1 同济堂医药有限公司2018年第一期公开发行债券募集说明书_3214787117876345
同济堂医药有限公司,,2018-04-20,281,28,504763,13002,138,1 同济堂医药有限公司2018年第一期公开发行债券募集说明书_3214792732798451
青岛西海岸发展（集团）有限公司,,2018-04-20,142,16,132448,7270,64,2018年青岛西海岸发展（集团）有限公司公司债券募集说明书_3215430065803014
区草堂科技产业基地发展有限公司,,2018-04-18,72,7,142585,3880,28,2018年西安高新区草堂科技产业基地发展有限公司公司债券募集说明书_3213807902033834
龙源电力集团股份有限公司,,2018-04-16,172,12,273978,5908,68,2018年第一期龙源电力集团股份有限公司绿色债券募集说明书_3212737058717874
安徽军工集团控股有限公司,,2018-04-16,132,14,235456,7386,72,安徽军工集团控股有限公司2018年公开发行公司债券募集说明书_3210321522746442
福建天马科技集团股份有限公司,,2018-04-13,308,6,412582,13577,153,天马科技公开发行可转换公司债券募集说明书_603668_20180413_5
马鞍山郑蒲港新区建设投资有限公司,,2018-04-13,60,4,150832,2034,30,2018年第一期马鞍山郑蒲港新区建设投资有限公司公司债券募集说明书_3210146923516376
温岭市国有资产投资集团有限公司,,2018-04-13,130,4,187690,5534,66,2018年第一期温岭市国有资产投资集团有限公司公司债券募集说明书_3209515001403366
陕西金融控股集团有限公司,,2018-04-13,234,12,241184,11029,112,2018年陕西金融控股集团有限公司绿色债券募集说明书_3209395152118885
青岛鼎信通讯股份有限公司,鼎信通讯,2018-04-12,236,20,473300,10450,110,鼎信通讯公开发行可转换公司债券募集说明书_603421_20180412_6
建设投资开发有限公司,,2018-04-11,66,1,89232,2012,26,2018年第二期吉水县城市建设投资开发有限公司城市地下综合管廊建设专项债券募集说明书_3207787030779244
济宁市新城发展投资有限责任公司,,2018-04-11,64,2,78551,2559,27,2018年第一期济宁市新城发展投资有限责任公司公司债券募集说明书_3207570480487796
广东粤海控股集团有限公司,,2018-04-10,84,2,104461,3420,38,2018年第一期广东粤海控股集团有限公司城市停车场建设专项债券募集说明书_3202465085622104
歙县城市建设投资开发有限公司,,2018-04-09,40,2,92001,1278,18,2018年歙县城市建设投资开发有限公司公司债券募集说明书_3202559471495462
江苏洋口港建设发展集团有限公司,,2018-04-03,108,14,227970,4478,54,2018年第一期江苏洋口港建设发展集团有限公司公司债券募集说明书_3198030719798083
泸州市工业投资集团有限公司,,2018-04-03,184,20,282616,7290,89,2018年泸州市工业投资集团有限公司公司债券募集说明书_3201512139498793
重庆市万盛经济技术开发区开发投资集团有限公司,,2018-04-02,49,3,107570,1580,20,2018年第一期重庆市万盛经济技术开发区开发投资集团有限公司公司债券募集说明书_3198304852631910
临邑县城市开发投资有限公司,,2018-03-28,120,10,157920,4577,49,2018年第一期临邑县城市开发投资有限公司公司债券募集说明书募集说明书_3196464215574838
荆门市东宝区城乡建设投资有限公司,,2018-03-27,77,7,90548,3396,37,2018年荆门市东宝区城乡建设投资有限公司公司债券募集说明书_3189646974993289
威海市文登区城市资产经营有限公司,,2018-03-27,124,6,181702,4769,59,2018年第一期威海市文登区城市资产经营有限公司城市停车场建设专项债券募集说明书_3192248186306037
兖州煤业股份有限公司,,2018-03-22,156,5,200899,7551,82,兖州煤业公开发行2018年可续期公司债券募集说明书（第一期）（面向合格投资者）_600188_20180322_5
